"Species","Latitude","Longitude","optional"
"African Jewelfish",25.43357,-80.73488,TRUE
"African Jewelfish",25.40727,-80.61671,TRUE
"African Jewelfish",25.40727,-80.61671,TRUE
"African Jewelfish",25.40669,-80.61629,TRUE
"African Jewelfish",25.40649,-80.61633,TRUE
"African Jewelfish",25.40686,-80.61638,TRUE
"African Jewelfish",25.39784,-80.59432,TRUE
"African Jewelfish",25.39784,-80.59432,TRUE
"African Jewelfish",25.41672,-80.63322,TRUE
"African Jewelfish",25.39718,-80.59355,TRUE
"African Jewelfish",25.3971,-80.59405,TRUE
"African Jewelfish",25.40839,-80.6163,TRUE
"African Jewelfish",25.40839,-80.6163,TRUE
"African Jewelfish",25.41906,-80.63277,TRUE
"African Jewelfish",25.42041,-80.63297,TRUE
"African Jewelfish",25.3658,-80.8978,TRUE
"African Jewelfish",25.5903,-81.02492,TRUE
"African Jewelfish",25.39504,-80.94975,TRUE
"African Jewelfish",25.50344,-80.91153,TRUE
"African Jewelfish",25.56247,-80.91153,TRUE
"African Jewelfish",25.38637,-80.91166,TRUE
"African Jewelfish",25.44591,-80.89642,TRUE
"African Jewelfish",25.44591,-80.89642,TRUE
"African Jewelfish",25.44769,-80.89267,TRUE
"African Jewelfish",25.42942,-80.9279,TRUE
"African Jewelfish",25.42942,-80.9279,TRUE
"African Jewelfish",25.42681,-80.9261,TRUE
"African Jewelfish",25.45957,-80.87358,TRUE
"African Jewelfish",25.43613,-80.90977,TRUE
"African Jewelfish",25.43871,-80.90748,TRUE
"African Jewelfish",25.42974,-80.90136,TRUE
"African Jewelfish",25.45517,-80.87877,TRUE
"African Jewelfish",25.44591,-80.89642,TRUE
"African Jewelfish",25.4245,-80.9293,TRUE
"African Jewelfish",25.41703,-80.95483,TRUE
"African Jewelfish",25.45017,-80.94691,TRUE
"African Jewelfish",25.41147,-80.96555,TRUE
"African Jewelfish",25.41377,-80.97158,TRUE
"African Jewelfish",25.41125,-80.96631,TRUE
"African Jewelfish",25.41118,-80.96275,TRUE
"African Jewelfish",25.41377,-80.97158,TRUE
"African Jewelfish",25.41377,-80.97158,TRUE
"African Jewelfish",25.41377,-80.97158,TRUE
"African Jewelfish",25.42937,-80.97153,TRUE
"African Jewelfish",25.43281,-80.96593,TRUE
"African Jewelfish",26.42183,-80.07281,TRUE
"African Jewelfish",26.42183,-80.07281,TRUE
"African Jewelfish",26.42428,-80.12113,TRUE
"African Jewelfish",26.429,-80.09933,TRUE
"African Jewelfish",26.32788,-80.13206,TRUE
"African Jewelfish",26.32789,-80.13895,TRUE
"African Jewelfish",26.32785,-80.14582,TRUE
"African Jewelfish",26.32782,-80.15268,TRUE
"African Jewelfish",26.32782,-80.15956,TRUE
"African Jewelfish",26.32786,-80.18017,TRUE
"African Jewelfish",26.32784,-80.18705,TRUE
"African Jewelfish",26.32784,-80.18705,TRUE
"African Jewelfish",26.35222,-80.28581,TRUE
"African Jewelfish",26.35417,-80.29235,TRUE
"Brown Hoplo",29.50408,-81.91237,TRUE
"Brown Hoplo",25.42547,-80.65505,TRUE
"Brown Hoplo",25.43064,-80.66052,TRUE
